"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"A Series","Standard_A2_v2","A2_Low_Priority","A2","Linux","Low Priority","Low Priority","2","4","4","1023","20","0.024","17.760"
"A Series","Standard_A2","A2_Low_Priority","A2","Linux","Low Priority","Low Priority","2","3.5","4","1023","135","0.024","17.760"
"A Series","Basic_A2","A2_Low_Priority","A2","Linux","Low Priority","Low Priority","2","3.5","4","1023","60","0.024","17.760"
"Eav4/Easv4 Series","Standard_E16-8as_v4","E16-8as_v4","E16-8as_v4","Windows","Standard","Standard","16","128","32","1023","256","1.744","1290.560"
"Ddv4 Series","Standard_D8d_v4","D8d_v4_Low_Priority","D8d v4","Windows","Low Priority","Low Priority","8","32","16","1023","300","0.328","242.720"
"NV Promo Series","Standard_NV24","NV24","NV24","Linux","Standard","Standard","24","224","64","1023","1440","2.884","2134.160"
"NV Promo Series","Standard_NV24_Promo","NV24","NV24","Linux","Standard","Standard","24","224","64","1023","1440","2.884","2134.160"
"NV Promo Series","Standard_NV24s_v2","NV24","NV24","Linux","Standard","Standard","24","448","32","1023","1344","2.884","2134.160"
"NV Promo Series","Standard_NV24s_v3","NV24","NV24","Linux","Standard","Standard","24","224","24","1023","672","2.884","2134.160"
"NCasv3 T4 Series","Standard_NC4as_T4_v3","NC4as_T4_v3_Low_Priority","NC4as T4 v3","Windows","Low Priority","Low Priority","4","28","8","1023","176","0.284","210.160"
"Edsv4 Series","Standard_E8-4ds_v4","E8-4ds_v4_Low_Priority","E8-4ds v4","Linux","Low Priority","Low Priority","8","64","16","1023","300","0.115","85.100"
"Edv4 Series","Standard_E32d_v4","E32d_v4_Low_Priority","E32d v4","Windows","Low Priority","Low Priority","32","256","32","1023","1200","1.51","1117.40"
"Dsv4 Series","Standard_D16s_v4","D16s_v4","D16s v4","Windows","Standard","Standard","16","64","32","1023","0","1.504","1112.960"
"MS Series","Standard_M32ts","M32ts_Low_Priority","M32ts","Windows","Low Priority","Low Priority","32","192","32","1023","1000","1.1302","836.3480"
"NCSv3 Series","Standard_NC24rs_v3","NC24rs_v3","NC24rs v3","Linux","Standard","Standard","24","448","32","1023","1344","13.464","9963.360"
"Esv4 Series","Standard_E32s_v4","E32s_v4","E32s v4","Linux","Standard","Standard","32","256","32","1023","0","2.016","1491.840"
"Ev4 Series","Standard_E20_v4","E20_v4","E20 v4","Windows","Standard","Standard","20","160","32","1023","0","2.18","1613.20"
"Ddsv4 Series","Standard_D16ds_v4","D16ds_v4_Low_Priority","D16ds v4","Linux","Low Priority","Low Priority","16","64","32","1023","600","0.181","133.940"
"MS Series","Standard_M64ms","M64ms_Low_Priority","M64ms","Linux","Low Priority","Low Priority","64","1750","64","1023","2000","2.067","1529.580"
"Av2 Series","Standard_A4_v2","A4_v2_Low_Priority","A4 v2","Windows","Low Priority","Low Priority","4","8","8","1023","40","0.114","84.360"
"Edsv4 Series","Standard_E20ds_v4","E20ds_v4","E20ds v4","Linux","Standard","Standard","20","160","32","1023","750","1.44","1065.60"
"MSv2 Series","Standard_M416s_v2","M416s_v2_Low_Priority","M416s v2","Windows","Low Priority","Low Priority","416","5700","64","1023","8192","27.486","20339.640"
"Dsv4 Series","Standard_D48s_v4","D48s_v4","D48s v4","Linux","Standard","Standard","48","192","32","1023","0","2.304","1704.960"
"Edsv4 Series","Standard_E32-8ds_v4","E32-8ds_v4","E32-8ds v4","Windows","Standard","Standard","32","256","32","1023","1200","3.776","2794.240"
"LS Series","Standard_L32s_v2","L32s_Low_Priority","L32s","Linux","Low Priority","Low Priority","32","256","32","1023","7152","0.549","406.260"
"LS Series","Standard_L32s","L32s_Low_Priority","L32s","Linux","Low Priority","Low Priority","32","256","64","1023","5630","0.549","406.260"
"Eav4/Easv4 Series","Standard_E4-2as_v4","E4-2as_v4","E4-2as_v4","Windows","Standard","Standard","4","32","8","1023","64","0.436","322.640"
"Esv4 Series","Standard_E2s_v4","E2s_v4_Low_Priority","E2s v4","Linux","Low Priority","Low Priority","2","16","4","1023","0","0.0252","18.6480"
"NCSv3 Series","Standard_NC6s_v3","NC6s_v3","NC6s v3","Windows","Standard","Standard","6","112","12","1023","336","3.3408","2472.1920"
"Eav4/Easv4 Series","Standard_E64-16as_v4","E64-16as_v4_Low_Priority","E64-16as_v4","Windows","Low Priority","Low Priority","64","512","32","1023","864","2.79","2064.60"
"LS Series","Standard_L4s","L4s_Low_Priority","L4s","Windows","Low Priority","Low Priority","4","32","16","1023","678","0.218","161.320"
"A Series","Basic_A3","A3","A3","Linux","Basic","Basic","4","7","8","1023","120","0.176","130.240"
"Esv4 Series","Standard_E32-16s_v4","E32-16s_v4","E32-16s v4","Linux","Standard","Standard","32","256","32","1023","0","2.016","1491.840"
"LSv2 Series","Standard_L8s_v2","L8s_v2_Low_Priority","L8s v2","Windows","Low Priority","Low Priority","8","64","16","1023","1788","0.397","293.780"
"MSv2 Series","Standard_M416ms_v2","M416ms_v2","M416ms v2","Linux","Standard","Standard","416","11400","64","1023","8192","99.15","73371.00"
"NVasv4 Series","Standard_NV4as_v4","NV4as_v4_Low_Priority","NV4as v4","Linux","Low Priority","Low Priority","4","14","8","1023","88","0.0466","34.4840"
"BS Series","Standard_B20ms","B20ms","B20ms","Linux","Standard","Standard","20","80","32","1023","160","0.832","615.680"
"Esv4 Series","Standard_E4-2s_v4","E4-2s_v4","E4-2s v4","Linux","Standard","Standard","4","32","8","1023","0","0.252","186.480"
"Edsv4 Series","Standard_E16-8ds_v4","E16-8ds_v4","E16-8ds v4","Windows","Standard","Standard","16","128","32","1023","600","1.888","1397.120"
"Eav4/Easv4 Series","Standard_E4-2as_v4","E4-2as_v4","E4-2as_v4","Linux","Standard","Standard","4","32","8","1023","64","0.252","186.480"
"BS Series","Standard_B16ms","B16ms","B16ms","Linux","Standard","Standard","16","64","32","1023","128","0.666","492.840"
"Av2 Series","Standard_A2_v2","A2_v2","A2 v2","Windows","Standard","Standard","2","4","4","1023","20","0.136","100.640"
"MS Series","Standard_M32ts","M32ts","M32ts","Windows","Standard","Standard","32","192","32","1023","1000","4.179","3092.460"
"NC Series","Standard_NC24rs_v3","NC24r_Low_Priority","NC24r","Windows","Low Priority","Low Priority","24","448","32","1023","1344","1.908","1411.920"
"NC Series","Standard_NC24r","NC24r_Low_Priority","NC24r","Windows","Low Priority","Low Priority","24","224","64","1023","1440","1.908","1411.920"
"NC Series","Standard_NC24r_Promo","NC24r_Low_Priority","NC24r","Windows","Low Priority","Low Priority","24","224","64","1023","1440","1.908","1411.920"
"MS Series","Standard_M16ms","M16ms_Low_Priority","M16ms","Windows","Low Priority","Low Priority","16","437.5","16","1023","500","1.686","1247.640"
"Dsv4 Series","Standard_D64s_v4","D64s_v4","D64s v4","Linux","Standard","Standard","64","256","32","1023","0","3.072","2273.280"
"Esv4 Series","Standard_E64-16s_v4","E64-16s_v4_Low_Priority","E64-16s v4","Linux","Low Priority","Low Priority","64","504","32","1023","0","0.806","596.440"
"A Series","Standard_A4m_v2","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","4","32","8","1023","40","0.096","71.040"
"A Series","Standard_A4_v2","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","4","8","8","1023","40","0.096","71.040"
"A Series","Standard_A4","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","8","14","16","1023","605","0.096","71.040"
"A Series","Basic_A4","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","8","14","16","1023","240","0.096","71.040"
"A Series","Standard_A1_v2","A1","A1","Windows","Standard","Standard","1","2","2","1023","10","0.09","66.60"
"A Series","Standard_A1","A1","A1","Windows","Standard","Standard","1","1.75","2","1023","70","0.09","66.60"
"Av2 Series","Standard_A1_v2","A1_v2","A1 v2","Windows","Standard","Standard","1","2","2","1023","10","0.065","48.100"
"MS Series","Standard_M128s","M128s","M128s","Linux","Standard","Standard","128","2000","64","1023","4000","13.338","9870.120"
